sain,description,title
s3rq29az,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - XS
f4zbgw1n,"<p>The Indesit DFP 58T94 Z UK Dishwasher in white combines super capacity with an big range of programs so you can always find the cycle you need. For households with little ones, the Baby Cycle offers an intense cycle with extra hygiene protection. <br \><br \></p><p>Dedicated baby cycle giving you extra peace of mind, wash all of baby&apos;s beakers, plates, cutlery and toys with an extra special, hygienic wash guaranteed to remove 99.9% of bacteria. <br \><br \></p><p>With capacity for up to 14 place settings and using only 9L of water &ndash; the Indesit DFP 58T94 Z UK Dishwasher is the perfect solution for saving time and money. Plus, with features including an adjustable top basket for creating extra space. <br \><br \></p><p>The Indesit DFP 58T94 Z UK Dishwasher also comes with a Super Quiet motor which, at just 46dB, is as quiet at bird song so you&apos;ll hardly notice the hard work it&apos;s doing. </p><p>Overview:</p><ul><li>Capacity of 14 place settings. </li><li>8 programmes. </li><li>3 temperature settings. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li><li>Size H85, W60, D60cm. </li></ul><p>Programmes:</p><ul><li>Baby. </li><li>Economy. </li><li>Glassware. </li><li>Half load. </li><li>Intensive wash. </li><li>Prewash. </li><li>30 minute quick wash programme. </li></ul><p>Controls:</p><ul><li>Digit display. </li><li>12 hours delayed start. </li><li>Time remaining indicator. </li><li>Rinse aid refill indicator. </li><li>Salt refill indicator. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A++. </li><li>Cleaning performance rating: A. </li><li>Drying performance rating: A. </li><li>Estimated annual energy consumption: 265kW/year. </li><li>Estimated annual water consumption: 2520 litres/year. </li><li>Estimated energy consumption per cycle: 0.93kWh. </li><li>Estimated water consumption per cycle: 9 litres. </li><li>Noise level 46 dB(A). </li></ul><p>General features:</p><ul><li>Cold or hot water fill. </li><li>Cutlery holder. </li><li>Adjustable top basket. </li><li>Filter system. </li><li>Residual heat drying. </li><li>Overflow protection. </li><li>Weight 47kg. </li><li>EAN: 8050147024942. </li></ul>",Indesit DFP58T94Z Full Size Dishwasher - White
qph11wz4,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W40 L29
jg6ywtdp,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - S
d06fnyzb,<p>Features a high-speed dual charging port to keep you powered up on the move and detachable USB to Type C USBcable that lets you charge other Type C USB devices. <br \><br \></p><p>High-speed dual charging port to keep you powered up on the move and detachable USB to Micro USB cable. <br \><br \></p><p>Fast Charging. <br \><br \></p><ul><li>USB-A to USB-C cable. </li><li>6000mAh. </li><li>Supports Quick Charge. </li></ul><p>Compatibility</p><ul><li>Compatible with the following devices: All USB A Leads. </li></ul><p>General information:</p><ul><li>EAN: 8806088592510. </li></ul>,Samsung Dual Car USB Charger
wmw01edq,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W40 L31
9kv1e5sv,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - M
p949jkvk,"<p>Stunning watercolour floral design rug, ideal for adding a pop of colour and design to any living area of the home. Woven in a soft heat set polypropylene pile. <br \><br \></p><p>Highly detailed. Stain resistant and easy care. <br \><br \></p><ul><li>100% polypropylene. </li><li>Woven . </li><li>Surface shampoo only. </li><li>Size L230, W160cm. </li><li>8.47kg. </li><li>EAN: 5053095172706. </li></ul>",Vintage Floral Rug - 160x230cm - Blush
3nqe450s,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W40 L33
vythkwb1,"<p>A Candy 4 burner gas hob featuring side rotory controls with an electric ignition. The hob is fitted with a flame failure device ensuring that if the flame is extinguished accidently, the gas supply will automatically cut off. <br \><br \></p><p>The hob is fitted with automatic ignition and easy to use. <br \><br \></p><p>With LPG conversion kit, you can use this hob for either natural gas or LPG. <br \><br \></p><p>Overview:</p><ul><li>4 cooking zones. </li><li>Side-mounted controls. </li><li>Dial control. </li><li>Enamel pan supports. </li></ul><p>Dimensions</p><ul><li>Size W59.5, D51cm. </li><li>To fit aperture size W56, D48cm. </li></ul><p>General information:</p><ul><li>FSD compliant - stops gas flow once the flame is extinguished. </li><li>Hardwired. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li><li>EAN: 8016361966949. </li></ul>",Candy CHW6LWW Gas Hob - White
gy9z02mk,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - L
yb40wmgj,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W40 L35
vvkzfwtj,"<p>A modern electric fireplace suite. The Adam Truro in pure white is complimented by the Adam Eclipse fire which has a coal effect fuel bed with an LED flame effect. This suite also offers a flame effect only setting as well as a 1kW & 2kW heat option. <br \><br \></p><ul><li>2 heat settings. </li><li>1kW to 2kW heat output. </li><li>Safety cut-off. </li><li>Flame effect can be used independently of heat. </li><li>Size H97, W103.5, D27cm. </li><li>Weight 44kg. </li><li>Minimal assembly. </li><li>2 people recommended. </li><li>EAN: 5056126226430. </li></ul>",Adam Truro Surround with Eclipse 2kW Electric Fire Suite
ffs0x9x5,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - XL
98d1nt4d,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W42 L29
ah9z6cjr,"<p>Fruta Curacao - Outdoor Single Spreader Bar hammock. Made from weatherproof, fast-drying HamacTex with reinforced edges make the material tear-resistant. The spreader bars are made of premium quality bamboo from responsibly managed forests (FSC). Fitted with Universal Rope for multipurpose suspension. <br \><br \></p><p>Fruta Curacao - Outdoor Single Spreader Bar hammock with Universal Rope (Black) for multipurpose hammock suspension. <br \><br \></p><ul><li>Frame made from polyester. </li><li>Fabric made from polypropylene. </li><li>Cushions not included. </li><li>Frame can be left outside. </li><li>Minimal assembly. </li><li>Size H300, W100, D1cm. </li><li>Weight 1.8kg. </li><li>Manufacturer&apos;s 2 year guarantee. </li><li>EAN: 4025122936903. </li></ul>",La Siesta Fruta Curacao Single Hammock
tgcttbjr,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - XXL
8fygq2t7,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W42 L31
v4e64nrv,"<p>This is a high guality stainless steel breadbin with a mirror finish. It is stylish and practical and ventilated to keep baked goos fresh. This bread bin is sturdy compact and convenient to clean. </p><p>Bread bin features:</p><ul><li>Stainless steel bread bin. </li><li>Roll top lid. </li><li>Size H18.5, W38.5, D25.4cm. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>EAN: 5056032927292. </li></ul>",Tower Linear Roll Top Bread Bin - White and Rose Gold
n64dd0y8,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W42 L33
yyg6ns0z,"<p>Are you a fan of retro games from the golden age of gaming? If so, you'll love our black Atari crew neck t-shirt with its distinctive logo. Crafted from a cotton rich fabric, it has short sleeves and a faded, vintage-style pre-washed look. Team with your favourite denim for a cool everyday look.</p><ul><li>Atari logo</li><li>Crew neck</li><li>Short sleeves</li><li>Cotton rich</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Atari Black Crew Neck T-Shirt - XXXL
gd1hagj4,,Navy Blue Slim Fit Floral Shirt
vr7vyrf5,"<p>A modern electric fireplace suite. The Adam Greenwich in pure white & black is complimented by the Adam Eclipse fire which has a coal effect fuel bed with an LED flame effect. This suite also offers a flame effect only setting as well as a 1kW & 2kW heat option. <br \><br \></p><ul><li>2 heat settings. </li><li>1kW to 2kW heat output. </li><li>Safety cut-off. </li><li>Flame effect can be used independently of heat. </li><li>Size H100, W115, D35cm. </li><li>Weight 37.5kg. </li><li>Supplied assembled. </li><li>2 people recommended. </li><li>EAN: 5056126224931. </li></ul>",Adam Greenwich Surround with Eclipse 2kW Electric Fire Suite
ak3h9ek4,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - S
0d9w9drz,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W44 L29
g6yvyx1m,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W44 L31
emgjjq6c,"<p>Hey listen! This A5 notebook has a stylish soft cover, and is perfect for any fan of the iconic Legend of Zelda game!</p><p>Contents:</p><ul><li>EAN: 5051265725219. </li></ul>",Legend of Zelda Sage A5 Flexi Cover Notebook
y86np0z9,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W44 L33
91nahap5,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - M
ejz0xe3j,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - L
ca6pt199,"<p>Border design, handcarved to give a stunning 3D visual effect. The perfect centre piece for any area of the home. Hard wearing requiring an occasional surface shampoo. Use of a rug grip is recommended. <br \><br \></p><p>Hand carved. <br \><br \></p><ul><li>100% polypropylene. </li><li>Woven . </li><li>Surface shampoo only. </li><li>Size L230, W160cm. </li><li>10.48kg. </li><li>EAN: 5053095175301. </li></ul>",Melrose Daytona Border Rug - 160x230cm - Grey
r65c4264,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - XL
9zpn6c8j,"<p>This chimney hood is classic in design and is activated through push button controls to select the extraction, desired speed and illuminate the cooking surface. The hood features three extraction speeds allowing you to control the extraction required for the dish you are cooking; for searing meat or boiling the highest speed is advisable where as for a gentle simmer a low level speed is more suitable. It also comes with two washable filters to catch grease and smells. It can be fitted as a extraction or recirculation mode. <br \><br \></p><p>Classic in design complementing all ovens, range cookers and hobs. <br \><br \></p><p>This model is easy to use, being activated through push button controls to select the extraction, desired speed and illuminate the cooking surface. <br \><br \></p><p>The hood can be fitted as a extraction or reciruclation hood, allowing you to choose how you extract the air through. <br \><br \></p><ul><li>298 fan speeds. </li><li>Maximum extraction rate of 298m&sup3;/hr. </li><li> - 63 dB. </li><li>2 LED lights. </li><li>Charcoal filter. </li><li>Washable filter. </li><li>Adjustable chimney with a height range of 57.3cm to 94cm. </li><li>Size H94, W90, D48cm. </li><li>Includes 2 grease filter cassettes. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li><li>EAN: 8016361974005. </li></ul>",Candy CCE119/1X 90cm Cooker Hood - Stainless Steel
13c39z9v,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - XXL
m46zgev9,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W46 L31
558kpdys,"<p>Update your wardrobe with our dapper navy blue floral shirt. Crafted from pure cotton in a slim fit to enhance your silhouette, it has an understated floral patern, a button down collar and long sleeves. Team with dark denim for nights out.</p><ul><li>Navy blue floral</li><li>Pure cotton</li><li>Button down collar</li><li>Model wears a size M</li><li>Model's height is 6&quot;</li></ul>",Navy Blue Slim Fit Floral Shirt - XXXL
r9bjphxx,"<p>This Stormforce Crystal is equipped with an Intel i5-9600K allied with 16GB 2400MHz RAM and a 250GB SSD perfect for playing games such as Far Cry 5, GTA V and Assassin&apos;s Creed. <br \><br \></p><p>Model number:7290-5494. <br \><br \></p><p>Featuring a watercooled 6 core Intel i5-9600K CPU overclocked to a blistering 5GHz, dedicated RTX 2070 GPU, Aura Sync LED fans, BullGuard 90 day trial and an unrivalled 3 year collect & return warranty. <br \><br \></p><p>CPU and Memory:</p><ul><li>Intel Core i59600K processor. </li><li>Hex core processor. </li><li>Processor speed 5GHz. </li><li>16GB RAM DDR4. </li></ul><p>Hard drive:</p><ul><li>1TB HDD storage. </li><li>250GB SSD storage. </li><li>Hard drive speed 7200RPM. </li></ul><p>Graphics:</p><ul><li>Dedicated graphics. </li><li>NVIDIA RTX 2070 with 8GB memory. </li></ul><p>Interfaces and connectivity:</p><ul><li>2 x USB 2.0 ports. </li><li>2 x USB 3.0 ports. </li><li>4 x USB 3.1 ports. </li><li>Ethernet port. </li><li>2 HDMI ports. </li><li>1 VGA port. </li><li>1 DVI port. </li><li>Wireless/Wi-Fi enabled. </li></ul><p>Operating system and software:</p><ul><li>Microsoft Windows 10. </li></ul><p>General features:</p><ul><li>Size H468, W200, D455cm. </li><li>Weight 13kg. </li><li>Manufacturer&apos;s 3 year parts and labour guarantee. </li><li>EAN: 5055396026399. </li></ul>",Stormforce Crystal i5 16GB 250GB 1TB RTX2070 Gaming PC
f7pgp10c,"<div>Cut to a regular fit, these classic black trousers are designed in a tapered style with a flat front, side seam pockets, back pockets and belt loops. For a formal look, complete the outfit with a crisp shirt and the matching jacket.</div><ul><li>Online exclusive</li><li>Black stretch suit trousers</li><li>Regular fit</li><li>Flat front</li><li>Belt loops</li><li>Back pockets</li><li>Zip &amp; button fly</li><li>Model's height is 6'</li><li>Model wears a size W34&quot;, L31&quot;</li></ul>",Black Regular Fit Trousers - W48 L31
78kxs1er,,Pale Green Crew Neck Jumper
507vched,"<p>Add a touch of classic style to your everyday essentials with this pale yellow crew neck jumper. In a pure cotton fine knit, it's perfect to layer over shirts to stay warm without compromising a clean shape. Team it with a button-down collar and chinos to complete the look.&nbsp;</p><ul><li>Crew neck</li><li>Pure cotton</li><li>Super soft&nbsp;</li><li>Model wears a Size M</li><li>Model's height is 6'</li></ul>",Pale Yellow Crew Neck Jumper - XS
5wt543r0,"<p>Whether you&apos;re watching a movie or video chatting with friends, the 5.8 inch HD+ display with a 19:9 ratio makes you feel like you&apos;re right there with them. The edge-to-edge design makes the most of every millimeter giving you more to see. And thanks to the curved edges and the 2.5D shaped glass, the Nokia 5.1 Plus is simply a pleasure to hold. <br \><br \></p><p>Its high-gloss body creates a polished look, while the protective CNC-machined metal camera bezel lends a bold finish. <br \><br \></p><p>This one is for the more demanding mobile gamers and on-the-go binge-watchers. With its optimized power consumption, your escape into TV shows or gaming sessions will last that little bit longer. <br \><br \></p><p>Capture a photo as perfect as the moment with the main camera and its 5 MP depth sensor. Then, invoke your inner artist with AI features like bokeh blur to create a photo that&apos;s uniquely yours. <br \><br \></p><p>Model number: 11PDAB01A08. </p><p>Network:</p><ul><li>Network provider: Sim free. </li><li>2G, 3G and 4G network capability. </li><li>SIM card type: nano SIM. </li></ul><p>Display and Design:</p><ul><li>5.8 inch LCD display. </li><li> With a density of 287 pixels per inch. </li><li>Touch screen. </li><li>Toughened glass. </li></ul><p>Dimensions:</p><ul><li>Size H149.51, W71.98, D8.09mm. </li><li>Weight 160g. </li></ul><p>Camera and Video:</p><ul><li>Dual camera. </li><li>Front camera 8MP. </li><li>Rear camera 13MP. </li><li>Led. </li><li>Camera features: Main camera: 13 MP, f/2.0, PDAF 5 MP, depth sensor Selfie camera: 8 MP, f/2.2, 26mm (wide). </li><li>Video capture in 1080p HD quality. </li></ul><p>Storage:</p><ul><li>Internal memory 32GB. </li><li>Expandable memory up to 400GB when using microSD card slot. Boost your storage to hold more tunes, holiday snaps and extra apps.</li></ul><p>Technical specifications: </p><ul><li>2GHz octa core MediaTek processor. </li><li>3GB RAM. </li><li>Operating system: Android Android 9 Pie. </li></ul><p>Battery:</p><ul><li>Up to 36 hours standby time. </li><li>3060mAh battery capacity. </li></ul><p>Product features:</p><ul><li>MP3 and MP4 player. </li><li>Headphone port. </li><li>Fingerprint scanner For simple, safe and speedy unlocking and better security. </li></ul><p>Connectivity:</p><ul><li>Wi-Fi. </li><li>Bluetooth. </li><li>GPS. </li></ul><p>General information:</p><ul><li>EAN: 6438409026125. </li><li>Manufacturer&apos;s 2 year guarantee. </li></ul>",SIM Free Nokia 5.1 Plus 32GB Mobile Phone - Black
5g3w2fyw,,Cream Unicorn Fleece Top
6w02r43w,"<p>Add a touch of classic style to your everyday essentials with this pale yellow crew neck jumper. In a pure cotton fine knit, it's perfect to layer over shirts to stay warm without compromising a clean shape. Team it with a button-down collar and chinos to complete the look.&nbsp;</p><ul><li>Crew neck</li><li>Pure cotton</li><li>Super soft&nbsp;</li><li>Model wears a Size M</li><li>Model's height is 6'</li></ul>",Pale Yellow Crew Neck Jumper - S
hwm49w8d,"<p><br \><br \>This item is FREE delivery. </p><p><br \><br \>Light up your world with Pixel Pals: collectible pixel-art renditions of your favourite iconic characters! We want you to show off what you love and shine bright with Pixel Pals. <br \><br \></p><ul><li>Everyone&apos;s favourite blue hedgehog, Sonic, is best known for his incredible speed and his ability to survive even the most challenging obstacles. </li><li>Sonic uses his quick thinking to protect the world from the forces of evil and thwart attacks from his countless foes. </li><li>With his friction resistant red sneakers, Sonic loves adventure and values freedom above all else. </li><li>Size H16.1, W11.4, D8.8cm. </li><li>Batteries required: 2 x AAA (not included). </li><li>For ages 14 years and over. </li><li>EAN: 708056061531. </li></ul><p>WARNING(S):</p><ul><li>Not suitable for children under 3 years old. </li><li>Only for domestic use. </li></ul>",Pixel Pals Light-Up Figure - Sonic the Hedgehog
6cbv7zbp,"<p>The Universal collection has a classic style to suit all tastes and styles. Designed to complement the entire Boori collection, the Universal 3 Drawer Dresser is a stylish storage solution for any bedroom. Its three deep and fully extendable drawers are perfect for storing clothes, toys and accessories as your baby grows. <br \><br \></p><p>Part of the universal collection. <br \><br \></p><ul><li>3 deep and fully extendable storage drawers. </li><li>Greenguard gold certified. </li><li>3 drawers. </li></ul><p>General information:</p><ul><li>Size H103, W104, D48cm. </li><li>Weight 52kg. </li><li>Minimal assembly. </li><li>FSC certified wood. </li><li>Manufacturer&apos;s 5 year guarantee. </li><li>EAN: 9328730017923. </li></ul>",Universal 3 Drawer Dresser - White
q27s9n80,"<p>Everyone loves a unicorn and this snuggly cream fleece is simply adorable. Crafted from a soft fluffy fabric, it has a funnel neck, pink half zip and a super cute unicorn face on the kangaroo pocket. Pop it on them as an extra layer to keep them cosy on chilly days this winter.</p><p>&nbsp;</p><ul><li>Cream fleece top</li><li>Pink half zip</li><li>Funnel neck</li><li>Unicorn kangaroo pocket</li><li>Keep away from fire</li></ul>",Cream Unicorn Fleece Top - 9-12 months
r0mhhf6w,"<p>Little night owls decorate this gorgeous Grosnug, the 2-in-1 Swaddle & Newborn Grobag from The Gro Company. The Grosnug allows you to swaddle arms in or out for a great night&apos;s sleep and is the only bedding you&apos;ll need for your newborn. Extremely easy to use with no folding needed and a long zip perfect for nappy changes. Babies love it! <br \><br \></p><p>Winner of Best Baby and Toddler Awards - Mumii - Swaddle 2018 - Gold. <br \><br \></p><ul><li>Officially acknowledged as &apos;Hip-healthy&apos; by The Ineternational Hip Displaysia Insitute. </li><li>Can be used with arms in or out for a great night&apos;s sleep. </li><li>Suitable fom birth (5lbs-12lbs). </li><li>Machine washable. </li><li>Suitable for tumble drying. </li><li>100% cotton, . </li><li>Suitable from birth. </li><li>EAN: 5055531021074. </li></ul>",Gro Ollie the Owl Swaddle & Grobag - Newborn
ntp1x99a,"<p>Part of the grey mustard circles collection. <br \><br \></p><p>Made with 100% cotton, these towels have a soft finish and plenty of absorbency. The set includes a hand towel and a bath sheet so you&apos;ll have a matching set to keep your bathroom looking beautifully coordinated. <br \><br \></p><ul><li>Towel fabric 550gsm. </li><li>Machine washable at 40&deg;C. </li><li>Can be tumble dried. </li><li>Non-iron. </li></ul><p>Bath towels:</p><ul><li>Size L130, W70cm. </li></ul><p>Hand towels:</p><ul><li>Size L90, W50cm. </li></ul>",Argos Home 2 Piece Towel Bale - Grey Mustard Circles
wrnbam49,"<p>Add a touch of classic style to your everyday essentials with this pale yellow crew neck jumper. In a pure cotton fine knit, it's perfect to layer over shirts to stay warm without compromising a clean shape. Team it with a button-down collar and chinos to complete the look.&nbsp;</p><ul><li>Crew neck</li><li>Pure cotton</li><li>Super soft&nbsp;</li><li>Model wears a Size M</li><li>Model's height is 6'</li></ul>",Pale Yellow Crew Neck Jumper - M
dkdj9st4,"<p>Everyone loves a unicorn and this snuggly cream fleece is simply adorable. Crafted from a soft fluffy fabric, it has a funnel neck, pink half zip and a super cute unicorn face on the kangaroo pocket. Pop it on them as an extra layer to keep them cosy on chilly days this winter.</p><p>&nbsp;</p><ul><li>Cream fleece top</li><li>Pink half zip</li><li>Funnel neck</li><li>Unicorn kangaroo pocket</li><li>Keep away from fire</li></ul>",Cream Unicorn Fleece Top - 1-1.5 years
